"products_id","language_id","products_name","products_description","products_short_description","products_keywords","products_meta_title","products_meta_description","products_meta_keywords","products_url","products_viewed"
"9","1","Пневматический пистолет Макарова МР-654К-32 (300 серия)","<h2>Пневматический пистолет МР 654к 32</h2>
<p>Пневматический пистолет МР 654к 32 &ndash; это практически полная копия самой знаменитой модели оружейника Макарова. Широкий затвор, антибликовое покрытие, фирменные насечки по краям затвора &ndash; все это будет неотличимо от прототипа. Пневматическая модель гарантирует скорость выстрела в 180 м/с. Зарядность магазина в 13 пуль вполне достаточна для спортивной или развлекательной стрельбы. Пневматический пистолет МР 654к 32 может стать надежным защитником от хулиганов или грабителей.</p>","<p>Калибр (мм): <strong>4,5 </strong><br />Скорость пули (м/с): <strong>110</strong><br />Вес (кг): <strong>0,73</strong><br />Зарядность: <strong>13 пуль</strong><br />Тип пистолета: <strong>СО2</strong></p>
<p><span style=""font-size: medium;""><span style=""color: #ffffff;"">&nbsp;</span></span></p>
<p><span style=""font-size: medium;""><span style=""color: #ffffff;"">&nbsp;</span></span></p>","<a href='http://diada-arms.ru/article_info.php?articles_id=6'>раны от пневматики</a>, <a href='http://diada-arms.ru/article_info.php?articles_id=8'>винницкий завод пневматика</a>, <a href='http://diada-arms.ru/product_info.php?products_id=394'>Шарики BBs 4,5мм Золотая пуля медные (200шт.): отзывы, видео, информация и характеристики</a>","Пневматический пистолет Макарова МР-654К-02, купить оружейную пневматику в интернет-магазине со склада, ружья, пистолеты, автоматы, винтовки по низким ценам, отзывы, видео и характеристики (например размер ствола), можно узнать из раздела информация","Купить оружейную пневматику в интернет-магазине со склада, Пневматический пистолет Макарова МР-654К-02, автоматы, ружья, винтовки, пистолеты по низким ценам, видео и отзывы, а также характеристики (например размер ствола), можно узнать из раздела информация","пистолет пм пневматический makarov",,"13607"
"23","1","Пневматическая винтовка МР-512-40","<h1>Винтовка мр 512 40</h1>
<p>Ижевская однострельная  пневматическая винтовка мр 512 40 - одна из лучших моделей российского производства. Ее относят к классу пружинно-поршневой пневматики, взводится классическим &laquo;переламыванием&raquo; ствола. Винтовка мощная, скорость пули достигает 170 м/с. Приклад и ложе максимально комфортны. Держать ее в руках одно удовольствие. Идеально подойдет для развлекательной и спортивной стрельбы. Заказать мр 512 40 по невысокой стоимости можно в московской компании Diada-Arms по телефону или через корзину на нашем сайте.</p>
<p>&nbsp;</p>
<p><a href=""http://diada-arms.ru/product_info.php?products_id=186"">Для новичков в стрельбе лучшим выбором будет norica massimo</a></p>
<p><a href=""http://diada-arms.ru/product_info.php?products_id=193"">Оригинальная пневматическая винтовка norica quick с деревянным прикладом</a></p>","<p>Калибр (мм): <strong>4,5 </strong><br />Скорость пули (м/с): <strong>150</strong><br />Вес (кг): <strong>3</strong><br />Материал приклада: <strong>Пластик</strong><br />Тип взведения: <strong>Перелом ствола</strong><br />Зарядность: <strong>1 пуля</strong><span style=""color: #ffffff;""><span style=""font-size: medium;""><br /></span></span></p>","<a href='http://diada-arms.ru/article_info.php?articles_id=9'>болончики для пневматики</a>, <a href='http://diada-arms.ru/article_info.php?articles_id=5'>жесткая пневматика</a>, <a href='http://diada-arms.ru/product_info.php?products_id=379'>Пули пневматические Skarabey (DS 0.75g.) 360 шт.: отзывы, видео, информация и характеристики</a>","Пневматическая винтовка мр 512 40 купить по выгодной цене","У нас в интернет магазине вы можете купить пневматическую винтовку мр 512 40 по доступным ценам",,,"4123"
"7","1","Пневматический пистолет ИЖ-53","<h2><span style=""color: #ffffff;""><span style=""font-size: medium;"">Описание товара</span></span></h2>
<p><span style=""color: #ffffff;""><span style=""font-size: medium;"">Пневматический пистолет ИЖ-53 &ndash; настоящий подарок российские производителей оружия любителям пневматики. В основном ИЖ-53 предназначен для тренировочной стрельбы. Оригинальный дизайн и достаточно большая мощность сделали пистолет ИЖ-53 одним из самых популярных среди начинающих стрелков. К отличительным техническим характеристикам этого оружия относятся взвод пружины путем поворота ствола и выброс пули при помощи энергии воздуха, сжимаемого в цилиндре. Так же стоит отметить регулируемый по горизонтали и вертикали прицел. Несомненным плюсом пистолета является возможность эффективно работать как при минусовой температуре, так и в сильную жару. Кроме того, оружие укомплектовано шомполом, манжетой поршня и прицельной планкой. Бесспорно, низкая цена ИЖ-53 добавляет популярности этому пистолету. Купить ИЖ-53 &ndash; значит получить удовольствие от каждого выстрела.</span></span></p>
<h2><span style=""color: #ffffff;""><span style=""font-size: medium;"">Характеристики пистолета ИЖ-53:</span></span></h2>
<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td><strong><span style=""color: #ffffff;""><span style=""font-size: medium;"">Калибр, мм.:</span></span></strong></td>
<td><span style=""color: #ffffff;""><span style=""font-size: medium;"">4,5</span></span></td>
</tr>
<tr>
<td><strong><span style=""color: #ffffff;""><span style=""font-size: medium;"">Зарядность:</span></span></strong></td>
<td><span style=""color: #ffffff;""><span style=""font-size: medium;"">Однозарядная система</span></span></td>
</tr>
<tr>
<td><strong><span style=""color: #ffffff;""><span style=""font-size: medium;"">Тип боеприпаса:</span></span></strong></td>
<td><span style=""color: #ffffff;""><span style=""font-size: medium;"">пули типа ДЦ и ДМЦ</span></span></td>
</tr>
<tr>
<td><strong><span style=""color: #ffffff;""><span style=""font-size: medium;"">Длина, мм.:</span></span></strong></td>
<td><span style=""color: #ffffff;""><span style=""font-size: medium;"">407</span></span></td>
</tr>
<tr>
<td><strong><span style=""color: #ffffff;""><span style=""font-size: medium;"">Вес, кг.:</span></span></strong></td>
<td><span style=""color: #ffffff;""><span style=""font-size: medium;"">1,2</span></span></td>
</tr>
</tbody>
</table>","<p><span style=""color: #ffffff;""><span style=""font-size: medium;"">Калибр(мм): 4.5<br />Вес (кг): 1,2<br />Прицельные приспособления: регулировка прицела по горизонтали и по вертикали<br />Длина ствола (см): не более 0,215<br />Объем обоймы: 1</span></span></p>","<a href='http://diada-arms.ru/article_info.php?articles_id=6'>охота на рябчика с пневматикой</a>, <a href='http://diada-arms.ru/article_info.php?articles_id=8'>пневматика 25 дж</a>, <a href='http://diada-arms.ru/product_info.php?products_id=396'>Шарики Шх-15 11мм стальные весовые (кг): отзывы, видео, информация и характеристики</a>","Пневматический пистолет ИЖ-53, купить оружейную пневматику в интернет-магазине со склада, ружья, пистолеты, автоматы, винтовки по низким ценам, отзывы, видео и характеристики (например размер ствола), можно узнать из раздела информация","Купить оружейную пневматику в интернет-магазине со склада, Пневматический пистолет ИЖ-53, автоматы, ружья, винтовки, пистолеты по низким ценам, видео и отзывы, а также характеристики (например размер ствола), можно узнать из раздела информация",,,"3351"
"8","1","Пневматический пистолет МР 654К (белый корпус,белый затвор,обновлённая рукоятка)","<h1>Пистолет мр 654 &ndash; универсальное оружие</h1>
<p>Купить пневматический пистолет макаров мр 654к (цена и прочая информация доступна пользователям нашего сайта) можно как опытному любителю стрельбы, так и человеку, впервые взявшему в руки оружие.&nbsp; Внушительный внешне, простой и безопасный в обращении, пневматический пистолет байкал мр 654к пользуется заслуженной популярностью как на отечественном рынке, так и за рубежом (Baikal мр 654к). Цена пистолета мр 654к совсем невелика для столь надежного устройства известной на весь мир марки.&nbsp;</p>
<h2>Пневматический МР 654к &ndash; копия пистолета Макарова</h2>
<p>Пистолет пневматический мр 654к часто для краткости называют &laquo;макаровым&raquo;. Его прототипом является известный на весь мир боевой пистолет Макарова, от которого пистолет Байкал мр 654к &laquo;унаследовал&raquo; как изящный внешний вид, так и удобство в обращении. Стрельба из &laquo;Макарова&raquo; мр 654к является довольно точной имитацией процесса ведения огня из &laquo;настоящего&raquo; ПМ. Устройство для стрельбы (совокупность магазина, баллончика с углекислым газом и клапана) вставляется в корпус рукоятки пистолета Ижмех мр 654к, совсем как магазин боевого оружия.&nbsp; Материалом для изготовления мр 654к пм является высококачественная оружейная сталь. Магазин мр 654к может заряжаться как обычными стальными сферическими пулями, так и пиротехническими зарядами</p>
<h2>МР 654к 300 и прочие разновидности</h2>
<p>Известен не один десяток разновидностей мр 654к: новая версия выходит по нескольку раз в год. Какие-то, как МР654к 28, признаются наиболее похожими на оригинальный прототип, внешний вид других изменен в большей степени. Некоторые обновленные МР 654К рассчитаны на экспорт: так, пневматический пистолет мр 654к 32 купить можно преимущественно в Украине. Пистолет &laquo;Макаров&raquo; мр 654к часто называют &laquo;трехсотым&raquo;, так как серийные номера устройств этой модели начинаются с &laquo;300&raquo;. МР 654к 300 -&nbsp; серия, которая относится к самым новым (выпускается с 2012 года). Внешними отличительными признаками, которыми обладает новый мр 654к 300, можно назвать скрытый винт, дутую затворную задержку и бледный цвет рукоятки. Небольшая экономия на расходных материалах позволила сделать пневматические пистолеты иж 654к, купить которые может практически каждый любитель, значительно более дешевыми.</p>
<h2>МР 654к: купить и не пожалеть</h2>
<p>Пневматический пистолет мр 654к,&nbsp; цена которого не может называться запредельной, является одним из самых продаваемых видов спортивного и развлекательного оружия в нашей стране. Обратите внимание: пистолет макарова мр 654к &ndash; это не боевое и не травматическое оружие. Покупка травматического пистолета Макарова требует лицензии, а для того, чтобы купить пистолет мр 654к, оформлять подобные документы не требуется. Это не значит, что ижмех байкал мр 654к можно считать &laquo;игрушкой&raquo;. Обращение с таким устройством, как пневматический пистолет Макарова мр 654к, должно проходить с соблюдением техники безопасности.</p>","<p>Калибр (мм): <strong>4,5 </strong><br />Скорость пули (м/с): <strong>110</strong><br />Вес (кг): <strong>0,73</strong><br />Зарядность: <strong>13 пуль</strong><br />Тип пистолета: <strong>СО2</strong></p>
<p><span style=""font-size: medium;""><span style=""font-family: comic sans ms,sans-serif;""><span style=""color: #ffffff;""><span style=""font-family: trebuchet ms,geneva;"">&nbsp;</span></span></span></span></p>","<a href='http://diada-arms.ru/article_info.php?articles_id=6'>прогресс пневматик</a>, <a href='http://diada-arms.ru/article_info.php?articles_id=8'>м2 пневматика</a>, <a href='http://diada-arms.ru/product_info.php?products_id=395'>Шарики BBs 4,5мм Золотая пуля медные (250шт.): отзывы, видео, информация и характеристики</a>","Пневматический пистолет Макарова МР-654К, купить оружейную пневматику в интернет-магазине со склада, ружья, пистолеты, автоматы, винтовки по низким ценам, отзывы, видео и характеристики (например размер ствола), можно узнать из раздела информация","Купить оружейную пневматику в интернет-магазине со склада, Пневматический пистолет Макарова МР-654К, автоматы, ружья, винтовки, пистолеты по низким ценам, видео и отзывы, а также характеристики (например размер ствола), можно узнать из раздела информация","пневматический пистолет макарова усиленный пневматическое оружие макаров",,"9954"
"2067","1","Пневматическая винтовка Umarex Walther LG 300 Anatomic",,"<p>Калибр (мм): <strong>4,5 </strong><br />Скорость пули (м/с): <strong>170</strong><br />Вес (кг): <strong>4,770</strong><br />Материал приклада: <strong>Алюминий</strong><br />Тип взведения: <strong>Автовзвод</strong><br />Зарядность: <strong>1 пуля</strong></p>",,,,,,"343"
"10","1","Тестовый Товар 4","<h2>Описание товара</h2>
<p>Этот пневматический пистолет будет хорошим подарком как для профессионала по спортивной стрельбе из оружия, так и для начинающего любителя данного вида спорта. Купить пневматический пистолет Макарова можно очень просто в нашем интернет магазине. Вы будете довольны своей покупкой, т.к. данный пистолет очень эргономичен и отлично лежит в руке. Отзывы после того, как вы решитесь купить такое оружие, вы услышите только хорошие, да и сами потом присоединитесь к ним, когда опробуете его на деле хотя бы один раз.</p>","<p>Этот пневматический пистолет будет хорошим подарком</p>","<a href='http://diada-arms.ru/article_info.php?articles_id=7'>desert eagle пневматика</a>, <a href='http://diada-arms.ru/article_info.php?articles_id=7'>со2 пневматика</a>, <a href='http://diada-arms.ru/product_info.php?products_id=393'>Шарики BBs 4,5мм Золотая пуля медные (1500шт.): отзывы, видео, информация и характеристики</a>","Пневматический пистолет Макарова МР-654К-15 (с фальшглушителем), купить оружейную пневматику в интернет-магазине со склада, ружья, пистолеты, автоматы, винтовки по низким ценам, отзывы, видео и характеристики (например размер ствола), можно узнать из раздела информация","Купить оружейную пневматику в интернет-магазине со склада, Пневматический пистолет Макарова МР-654К-15 (с фальшглушителем), автоматы, ружья, винтовки, пистолеты по низким ценам, видео и отзывы, а также характеристики (например размер ствола), можно узнать из раздела информация","купить пневматический пистолет макарова мр 654к",,"10621"
"473","1","Пневматическая винтовка Crosman Fury R8-CF1K77NP","<h1>Пневматическая винтовка crosman fury np</h1>
<p>Винтовка crosman fury np cf1k77np американского производства ранее еще не появлялась на полках наших оружейных магазинов, поэтому эта новинка, полностью выполненная в виде огнестрельного оружия, придется по вкусу самому искушенному охотнику и любителю развлекательной стрельбы. При сравнительно небольшом весе в три килограмма винтовка crosman fury r8 cf1k77np обладает высоким уровнем мощности и оснащена запатентованной системой, значительно сокращающей вибрацию при выстреле и уменьшающей уровень шума на 70%.</p>
<h2>Надежность в использовании кросман фури нп</h2>
<p>Данная пружинно-поршневая пневматическая винтовка crosman fury np (кросман фури нп) представляет собой оружие длиной тысяча триста семьдесят миллиметров и представлена однозарядным магазином с пулями калибром четыре с половиной миллиметра. К слову, скорость пули составляет триста шестьдесят пять метров в секунду. Стоит заметить, что корпус приклада crosman fury np выполнен из улучшенного полимера. Рассмотрим остальные составляющие винтовки. На внутренней поверхности ствола есть четкие нарезы, а сам по себе он выполнен из высококачественной оружейной стали. Открытый прицел с фиброоптическими нитями осуществляет более комфортную и точную стрельбу. Предусмотренный производителем автоматический предохранитель надежно предохраняет от ложных выстрелов. В нашем интернет-магазине вы можете купить crosman fury np (кросман фари) по цене производителя, который гарантирует качество и практичность своей продукции.</p>
<p>&nbsp;</p>
<p><a href=""http://diada-arms.ru/product_info.php?products_id=411"">Купить пневматику gamo hunter igt по низкой цене</a></p>
<p><a href=""http://diada-arms.ru/product_info.php?products_id=412"">Винтовка gamo shadow dx с возможностью установки лазерного целеуказателя</a></p>","<p>Калибр (мм): <strong>4,5 </strong><br />Скорость пули (м/с): <strong>340&nbsp;</strong><br />Вес (кг): <strong>2,73</strong><br />Материал приклада: <strong>Пластик</strong><br />Тип взведения: <strong>Переломом ствола</strong><br />Зарядность: <strong>1 пуля</strong></p>",,"Пневматическая винтовка crosman fury np cf1k77np (кросман фури нп) купить по выгодной цене","У нас в интернет магазине вы можете купить пневматическую винтовку crosman fury np cf1k77np (кросман фури нп) по доступным ценам",,,"2504"
"474","1","Пневматическая винтовка Crosman CS5M77X Phantom","<h1>Crosman phantom сs1k77x. Классическая пневматическая винтовка</h1>
<p>Среди своих конкурентов пневматическая винтовка crosman phantom сs1k77x выделяется дизайном, который впитал в себя все классические черты оружия Дикого Запада. С технической стороны модель наиболее близка к знаменитой модели Crosman Quest 1000. Отличия можно обнаружить лишь в исполнении приклада. В сrosman phantom сs1k77x он изготовлен из прочного пластика и снабжен резиновым затыльником для смягчения отдачи. Стальной нарезной ствол сохранил все характеристики знаменитого прототипа.    Винтовка снабжена оптическим прицелом 4х32. Для облечения стрельбы при плохом освещении прицельные элементы оформлены с применением красных и зеленых фибероптических нитей.</p>
<h2>Как купить пневматическую винтовку Crosman phantom?</h2>
<p>Купить Кросман фантом вы можете, не покидая нашего сайта. Добавьте модель себе в корзину или позвоните по одному из указанных телефонов. Наши специалисты быстро оформят все необходимые бумаги. В интернет-магазине Diada Arms на пневматическую винтовку кросман фантом цена одна из самых низких в городе. При этом мы предоставляем долгосрочную гарантию и можем предоставить все необходимые сертификаты соответствия товара качеству и безопасности.  Обращайтесь к нам прямо сейчас, и уже через несколько дней вы сможете ощутить стильную мощь, которую воплощает пневматическая винтовка Crosman phantom, в своих руках.</p>
<p>&nbsp;</p>
<p><a href=""http://diada-arms.ru/product_info.php?products_id=408"">Купить пневматику gamo extreme co2 на 10 пуль</a></p>
<p><a href=""http://diada-arms.ru/product_info.php?products_id=409"">Охотничья пневматическая винтовка gamo hunter dx</a></p>","<p>Калибр (мм): <strong>4,5 </strong><br />Скорость пули (м/с): <strong>171 </strong><br />Вес (кг): <strong>2,73</strong><br />Материал приклада: <strong>Пластик</strong><br />Тип взведения: <strong>Переломом ствола</strong><br />Зарядность: <strong>1 пуля</strong><strong></strong></p>",,"Пневматическая винтовка crosman phantom cs1k77x (кросман фантом) купить по выгодной цене","У нас в интернет магазине вы можете купить пневматическую винтовку crosman phantom cs1k77x (кросман фантом) по доступным ценам",,,"555"
"480","1","Пневматическая винтовка  Crosman Venom 8-CVW1K77NP","<h1>Пневматическая винтовка Nitro Crosman Venom 8-CVW1K77NP</h1>
<p>Практичная и удобная винтовка от знаменитого производителя, американской компании Crosman. Имеет нитро-поршневую систему, которая вместо стандартной стальной пружины использует для выстрела энергию азота, которым заполняется поршень втулки. Благодаря этому оружие может долго оставаться взведенным без потери мощности выстрела или скорости пули. Также нитро-поршневая система позволяет значительно снизить шум (до 30%) и отдачу (за счет устранения двойного удара). Все вышеперечисленные достоинства позволяют купить кросман нитро веном для охоты на животных небольшого размера, а также для планкинга.</p>
<h2>Комплектация Сrosman nitro venom 8 cd1k77np</h2>
<p>Решив купить винтовку crosman nitro venom 8 cd1k77np в нашем магазине, вы получаете классическую комплектацию, в которую входит сама винтовка,  корпус и нарезной ствол, которой изготовлены из стали, а приклад и ложе из твердой древесины, а также 9-ти кратный оптический прицел 3-9х40 CenterPoint. Как и у всех прочих моделей класса VENOM, у Crosman 8-CVW1K77NP отсутствуют прицельные приспособления, поэтому оптика крепится на специальной планке Вивера, шириной 11 мм. Цена, указанная на нашем сайте, включает стоимость всех вышеперечисленных комплектующих.</p>
<h2>Описание и отзывы crosman venom cvw1k77np</h2>
<p>Среди тактико-технических характеристик crosman venom cvw1k77np можно выделить калибр в 4,5 мм при стартовой скорости пули 365 м/с. Общая длина винтовки достигает 1180 мм (из низ 375 стальной нарезной ствол), а вес 3 кг, что достаточно немного, ввиду отсутствия пластиковых деталей. Тип винтовки позволяет заряжать за один раз не более 1 пули.  Отзывы crosman venom cvw1k77np имеет исключительно положительные. Во многом это обеспечивается продолжительным сроком эксплуатации модели, ее высокой прицельной точностью, а также низкой отдачей и пониженным уровнем шума.</p>
<h2>Торопитесь купить crosman nitro venom cvw1k77np</h2>
<p>На пневматические винтовки crosman nitro venom cvw1k77np цена в интернет-магазине Diada-arms одна из самых низких в нашем городе. Количество моделей на складе относительно ограничено, поэтому спешите приобрести одну из них прямо сейчас! Вы можете кросман веном 8 купить по телефону, указанному на нашем сайте либо через онлайн-магазин. Ваш заказ со всеми сопроводительными документами уже в самом ближайшем времени будет доставлен по указанному адресу. Приобретая пневматическое оружие в нашем магазине, вы получаете гарантию качества и надежности на долгие годы.</p>
<p>&nbsp;</p>
<p><a href=""http://diada-arms.ru/product_info.php?products_id=215"">Винтовка для темповой стрельбы кросман 1077</a></p>
<p><a href=""http://diada-arms.ru/product_info.php?products_id=231"">Низкая цена на пневматику умарекс вальтер 1250 доминатор</a></p>","<p>Калибр (мм): <strong>4,5 </strong><br />Скорость пули (м/с): <strong>365</strong><br />Вес (кг): <strong>3,45</strong><br />Материал приклада: <strong>Дерево</strong><br />Тип взведения: <strong>Переломом ствола</strong><br />Зарядность: <strong>1 пуля</strong></p>",,"Пневматическая винтовка crosman venom 8 cvw1k77np nitro venom (кросман нитро веном для охоты) купить по выгодной цене","У нас в интернет магазине вы можете купить пневматическую винтовку crosman venom 8 cvw1k77np nitro venom (кросман нитро веном для охоты) по доступным ценам",,,"4653"
"481","1","Пневматическая винтовка Crosman BP1763 Benjamin Marauder","<h1>Crosman pcp bp1763 benjamin marauder</h1>
<p>Модель Сrosman pcp bp1763 benjamin marauder является одной из самых популярных современных пневматических винтовок. Такое внимание к ней обеспечивается возможностью перестройки мощности выстрела, крайне малой отдачей и встроенным глушителем, который делает выстрел практически бесшумным. Механизм работы винтовки (как и прочих моделей серии, типа crosman pcp bp2263 benjamin marauder) основан на воздействии газа, закачанного под высоким давлением (138-207 бар). Помимо всех вышеперечисленных достоинств, это позволяет заряжать одновременно до 10 пуль и обеспечивает неплохую скорострельность. Таким образом, данная модель является одной из самых современных среди всего пневматического арсенала.</p>
<h2>Технические характеристики crosman pcp bp1763 benjamin marauder</h2>
<p>Купить кросман бенджамин мародер стоит уже за ее технические характеристики. Имея калибр в 4,5 мм с начальной скоростью пули в 335 м/с, винтовка может похвастаться весьма скромными размерами. Длина всего 1090 мм, а вес 3,5 кг (во многом из-за шикарного деревянного приклада). Ствол Crosman Custom Choked Barrel, как и полагается, нарезной, стальной. В стандартную комплектацию входит также 11-миллиметровая планка для установки оптического прицела. Как уже говорилось выше, магазин винтовки рассчитан на 10 свинцовых пулек. Фирма-производитель &ndash; знаменитая американская компания Crosman.</p>
<h2>Спешите купить crosman benjamin marauder у нас!</h2>
<p>В связи с все нарастающей популярностью этой модели, купить crosman pcp bp1763 benjamin marauder в нашей стране становится все сложнее. Если вы видите, что на нашем складе она присутствует, мы рекомендуем вам приобретать эту винтовку немедленно. Не решившись сейчас, позже вы будете жалеть о несовершенной покупке.  К тому же на crosman benjamin marauder цена в нашем интернет-магазине самая приемлемая. У нас же вы можете приобрести и все необходимые сопутствующие товары. Заказ со всеми сопроводительными документами будет доставлен вам в самые кратчайшие сроки.</p>
<p>&nbsp;</p>
<p><a href=""http://diada-arms.ru/product_info.php?products_id=402"">Заказать винтовку crosman trail np 8 с курком с двуступенчатой регулировкой</a></p>
<p><a href=""http://diada-arms.ru/product_info.php?products_id=403"">Купить надежную пневматику gamo big cat 1250</a></p>","<p>Калибр (мм): <strong>4,5 </strong><br />Скорость пули (м/с): <strong>335</strong><br />Вес (кг): <strong>3,5</strong><br />Материал приклада: <strong>Дерево</strong><br />Тип взведения: <strong>При помощи затвора</strong><br />Зарядность: <strong>10 пуль</strong></p>",,"Пневматическая винтовка crosman pcp bp1763 benjamin marauder (кросман бенджамин мародер) купить по выгодной цене","У нас в интернет магазине вы можете купить пневматическую винтовку crosman pcp bp1763 benjamin marauder (кросман бенджамин мародер) по доступным ценам",,,"2624"
